cl_num, clr_num, t_num, gr_num, pop_size, mut, dbr, num_gen
69, 7, 38, 24, 10, 3, 5, 1409
69, 7, 38, 24, 10, 3, 5, 839
69, 7, 38, 24, 10, 3, 5, -1
69, 7, 38, 24, 10, 3, 5, -1
69, 7, 38, 24, 10, 3, 5, 543
69, 7, 38, 24, 10, 3, 5, 418
69, 7, 38, 24, 10, 3, 5, -1
69, 7, 38, 24, 10, 3, 5, 1311
69, 7, 38, 24, 10, 3, 5, 1089
69, 7, 38, 24, 10, 3, 5, -1
69, 7, 38, 24, 10, 6, 5, 368
69, 7, 38, 24, 10, 6, 5, 917
69, 7, 38, 24, 10, 6, 5, 1696
69, 7, 38, 24, 10, 6, 5, 611
69, 7, 38, 24, 10, 6, 5, -1
69, 7, 38, 24, 10, 6, 5, 297
69, 7, 38, 24, 10, 6, 5, 387
69, 7, 38, 24, 10, 6, 5, -1
69, 7, 38, 24, 10, 6, 5, 836
69, 7, 38, 24, 10, 6, 5, -1
69, 7, 38, 24, 20, 6, 5, 287
69, 7, 38, 24, 20, 6, 5, 154
69, 7, 38, 24, 20, 6, 5, 191
69, 7, 38, 24, 20, 6, 5, 445
69, 7, 38, 24, 20, 6, 5, 1165
69, 7, 38, 24, 20, 6, 5, 394
69, 7, 38, 24, 20, 6, 5, 147
69, 7, 38, 24, 20, 6, 5, -1
69, 7, 38, 24, 20, 6, 5, 470
69, 7, 38, 24, 20, 6, 5, 253
69, 7, 38, 24, 20, 6, 10, -1
69, 7, 38, 24, 20, 6, 10, -1
69, 7, 38, 24, 20, 6, 10, -1
69, 7, 38, 24, 20, 6, 10, 183
69, 7, 38, 24, 20, 6, 10, -1
69, 7, 38, 24, 20, 6, 10, -1
69, 7, 38, 24, 20, 6, 10, -1
69, 7, 38, 24, 20, 6, 10, 138
69, 7, 38, 24, 20, 6, 10, 113
69, 7, 38, 24, 20, 6, 10, 110
69, 7, 38, 24, 20, 3, 10, 959
69, 7, 38, 24, 20, 3, 10, 351
69, 7, 38, 24, 20, 3, 10, -1
69, 7, 38, 24, 20, 3, 10, 1748
69, 7, 38, 24, 20, 3, 10, -1
69, 7, 38, 24, 20, 3, 10, 1194
69, 7, 38, 24, 20, 3, 10, 136
69, 7, 38, 24, 20, 3, 10, 342
69, 7, 38, 24, 20, 3, 10, 638
69, 7, 38, 24, 20, 3, 10, 290
69, 7, 38, 24, 20, 3, 15, -1
69, 7, 38, 24, 20, 3, 15, -1
69, 7, 38, 24, 20, 3, 15, -1
69, 7, 38, 24, 20, 3, 15, -1
69, 7, 38, 24, 20, 3, 15, -1
69, 7, 38, 24, 20, 3, 15, -1
69, 7, 38, 24, 20, 3, 15, 646
69, 7, 38, 24, 20, 3, 15, -1
69, 7, 38, 24, 20, 3, 15, -1
69, 7, 38, 24, 20, 3, 15, 1334
69, 7, 38, 24, 30, 3, 15, -1
69, 7, 38, 24, 30, 3, 15, 811
69, 7, 38, 24, 30, 3, 15, -1
69, 7, 38, 24, 30, 3, 15, -1
69, 7, 38, 24, 30, 3, 15, -1
69, 7, 38, 24, 30, 3, 15, 1247
69, 7, 38, 24, 30, 3, 15, -1
69, 7, 38, 24, 30, 3, 15, 358
69, 7, 38, 24, 30, 3, 15, 480
69, 7, 38, 24, 30, 3, 15, 532
69, 7, 38, 24, 30, 6, 15, 179
69, 7, 38, 24, 30, 6, 15, 169
69, 7, 38, 24, 30, 6, 15, 118
69, 7, 38, 24, 30, 6, 15, 1449
69, 7, 38, 24, 30, 6, 15, 190
69, 7, 38, 24, 30, 6, 15, 567
69, 7, 38, 24, 30, 6, 15, 30
69, 7, 38, 24, 30, 6, 15, 90
69, 7, 38, 24, 30, 6, 15, 167
69, 7, 38, 24, 30, 6, 15, 702
69, 7, 38, 24, 30, 8, 15, 707
69, 7, 38, 24, 30, 8, 15, 129
69, 7, 38, 24, 30, 8, 15, 216
69, 7, 38, 24, 30, 8, 15, 103
69, 7, 38, 24, 30, 8, 15, 154
69, 7, 38, 24, 30, 8, 15, 73
69, 7, 38, 24, 30, 8, 15, 147
69, 7, 38, 24, 30, 8, 15, 330
69, 7, 38, 24, 30, 8, 15, 210
69, 7, 38, 24, 30, 8, 15, -1
69, 7, 38, 24, 40, 8, 15, 316
69, 7, 38, 24, 40, 8, 15, 72
69, 7, 38, 24, 40, 8, 15, 78
69, 7, 38, 24, 40, 8, 15, 666
69, 7, 38, 24, 40, 8, 15, 120
69, 7, 38, 24, 40, 8, 15, 188
69, 7, 38, 24, 40, 8, 15, 1070
69, 7, 38, 24, 40, 8, 15, -1
69, 7, 38, 24, 40, 8, 15, 123
69, 7, 38, 24, 40, 8, 15, 168
69, 7, 38, 24, 40, 8, 20, 414
69, 7, 38, 24, 40, 8, 20, -1
69, 7, 38, 24, 40, 8, 20, -1
69, 7, 38, 24, 40, 8, 20, -1
69, 7, 38, 24, 40, 8, 20, 752
69, 7, 38, 24, 40, 8, 20, 184
69, 7, 38, 24, 40, 8, 20, 135
69, 7, 38, 24, 40, 8, 20, 1370
69, 7, 38, 24, 40, 8, 20, 107
69, 7, 38, 24, 40, 8, 20, 358
69, 7, 38, 24, 40, 10, 20, 609
69, 7, 38, 24, 40, 10, 20, 75
69, 7, 38, 24, 40, 10, 20, 632
69, 7, 38, 24, 40, 10, 20, 429
69, 7, 38, 24, 40, 10, 20, 25
69, 7, 38, 24, 40, 10, 20, 181
69, 7, 38, 24, 40, 10, 20, 803
69, 7, 38, 24, 40, 10, 20, 517
69, 7, 38, 24, 40, 10, 20, 1877
69, 7, 38, 24, 40, 10, 20, -1
69, 7, 38, 24, 40, 10, 25, 142
69, 7, 38, 24, 40, 10, 25, 1072
69, 7, 38, 24, 40, 10, 25, 231
69, 7, 38, 24, 40, 10, 25, 206
69, 7, 38, 24, 40, 10, 25, 520
69, 7, 38, 24, 40, 10, 25, 244
69, 7, 38, 24, 40, 10, 25, 26
69, 7, 38, 24, 40, 10, 25, 31
69, 7, 38, 24, 40, 10, 25, 811
69, 7, 38, 24, 40, 10, 25, 65
69, 7, 38, 24, 40, 15, 25, 337
69, 7, 38, 24, 40, 15, 25, 237
69, 7, 38, 24, 40, 15, 25, 789
69, 7, 38, 24, 40, 15, 25, 83
69, 7, 38, 24, 40, 15, 25, 46
69, 7, 38, 24, 40, 15, 25, 471
69, 7, 38, 24, 40, 15, 25, -1
69, 7, 38, 24, 40, 15, 25, 65
69, 7, 38, 24, 40, 15, 25, 51
69, 7, 38, 24, 40, 15, 25, 1032
69, 7, 38, 24, 50, 10, 25, 1162
69, 7, 38, 24, 50, 10, 25, -1
69, 7, 38, 24, 50, 10, 25, -1
69, 7, 38, 24, 50, 10, 25, 187
69, 7, 38, 24, 50, 10, 25, 81
69, 7, 38, 24, 50, 10, 25, 96
69, 7, 38, 24, 50, 10, 25, -1
69, 7, 38, 24, 50, 10, 25, 125
69, 7, 38, 24, 50, 10, 25, 257
69, 7, 38, 24, 50, 10, 25, 195
69, 7, 38, 24, 75, 10, 35, 40
69, 7, 38, 24, 75, 10, 35, 39
69, 7, 38, 24, 75, 10, 35, 36
69, 7, 38, 24, 75, 10, 35, 105
69, 7, 38, 24, 75, 10, 35, 32
69, 7, 38, 24, 75, 10, 35, 54
69, 7, 38, 24, 75, 10, 35, 264
69, 7, 38, 24, 75, 10, 35, 395
69, 7, 38, 24, 75, 10, 35, 288
69, 7, 38, 24, 75, 10, 35, 151
69, 7, 38, 24, 75, 10, 45, -1
69, 7, 38, 24, 75, 10, 45, -1
69, 7, 38, 24, 75, 10, 45, 174
69, 7, 38, 24, 75, 10, 45, 342
69, 7, 38, 24, 75, 10, 45, 61
69, 7, 38, 24, 75, 10, 45, 44
69, 7, 38, 24, 75, 10, 45, 39
69, 7, 38, 24, 75, 10, 45, 17
69, 7, 38, 24, 75, 10, 45, 18
69, 7, 38, 24, 75, 10, 45, 14
69, 7, 38, 24, 75, 10, 25, 68
69, 7, 38, 24, 75, 10, 25, 89
69, 7, 38, 24, 75, 10, 25, 51
69, 7, 38, 24, 75, 10, 25, 66
69, 7, 38, 24, 75, 10, 25, 73
69, 7, 38, 24, 75, 10, 25, 79
69, 7, 38, 24, 75, 10, 25, -1
69, 7, 38, 24, 75, 10, 25, 178
69, 7, 38, 24, 75, 10, 25, -1
69, 7, 38, 24, 75, 10, 25, 66
69, 7, 38, 24, 75, 8, 35, 56
69, 7, 38, 24, 75, 8, 35, 325
69, 7, 38, 24, 75, 8, 35, 76
69, 7, 38, 24, 75, 8, 35, 50
69, 7, 38, 24, 75, 8, 35, 336
69, 7, 38, 24, 75, 8, 35, 104
69, 7, 38, 24, 75, 8, 35, 670
69, 7, 38, 24, 75, 8, 35, 105
69, 7, 38, 24, 75, 8, 35, 46
69, 7, 38, 24, 75, 8, 35, 62
69, 7, 38, 24, 100, 8, 35, 50
69, 7, 38, 24, 100, 8, 35, 110
69, 7, 38, 24, 100, 8, 35, 201
69, 7, 38, 24, 100, 8, 35, 26
69, 7, 38, 24, 100, 8, 35, 298
69, 7, 38, 24, 100, 8, 35, 56
69, 7, 38, 24, 100, 8, 35, 409
69, 7, 38, 24, 100, 8, 35, 143
69, 7, 38, 24, 100, 8, 35, 40
69, 7, 38, 24, 100, 8, 35, 896
69, 7, 38, 24, 100, 8, 25, 90
69, 7, 38, 24, 100, 8, 25, 92
69, 7, 38, 24, 100, 8, 25, 604
69, 7, 38, 24, 100, 8, 25, 131
69, 7, 38, 24, 100, 8, 25, 38
69, 7, 38, 24, 100, 8, 25, 81
69, 7, 38, 24, 100, 8, 25, 63
69, 7, 38, 24, 100, 8, 25, 130
69, 7, 38, 24, 100, 8, 25, 98
69, 7, 38, 24, 100, 8, 25, 114
69, 7, 38, 24, 100, 6, 25, 93
69, 7, 38, 24, 100, 6, 25, 536
69, 7, 38, 24, 100, 6, 25, 48
69, 7, 38, 24, 100, 6, 25, -1
69, 7, 38, 24, 100, 6, 25, 423
69, 7, 38, 24, 100, 6, 25, 73
69, 7, 38, 24, 100, 6, 25, 83
69, 7, 38, 24, 100, 6, 25, 107
69, 7, 38, 24, 100, 6, 25, 135
69, 7, 38, 24, 100, 6, 25, 313
165, 9, 62, 44, 100, 6, 25, 578
165, 9, 62, 44, 100, 6, 25, 1232
165, 9, 62, 44, 100, 6, 25, 1345
165, 9, 62, 44, 100, 6, 25, -1
165, 9, 62, 44, 100, 6, 25, 1963
165, 9, 62, 44, 100, 6, 25, 399
165, 9, 62, 44, 100, 6, 25, -1
165, 9, 62, 44, 100, 6, 25, 1184
165, 9, 62, 44, 100, 6, 25, 543
165, 9, 62, 44, 100, 6, 25, 656
165, 9, 62, 44, 100, 8, 25, 1696
165, 9, 62, 44, 100, 8, 25, 1137
165, 9, 62, 44, 100, 8, 25, 992
165, 9, 62, 44, 100, 8, 25, -1
165, 9, 62, 44, 100, 8, 25, 347
165, 9, 62, 44, 100, 8, 25, 698
165, 9, 62, 44, 100, 8, 25, 383
165, 9, 62, 44, 100, 8, 25, 220
165, 9, 62, 44, 100, 8, 25, 463
165, 9, 62, 44, 100, 8, 25, -1
165, 9, 62, 44, 75, 8, 35, 198
165, 9, 62, 44, 75, 8, 35, -1
165, 9, 62, 44, 75, 8, 35, 1092
165, 9, 62, 44, 75, 8, 35, 1736
165, 9, 62, 44, 75, 8, 35, 1237
165, 9, 62, 44, 75, 8, 35, 394
165, 9, 62, 44, 75, 8, 35, 379
165, 9, 62, 44, 75, 8, 35, -1
165, 9, 62, 44, 75, 8, 35, 414
165, 9, 62, 44, 75, 8, 35, 322
165, 9, 62, 44, 100, 8, 35, 285
165, 9, 62, 44, 100, 8, 35, 1088
165, 9, 62, 44, 100, 8, 35, 458
165, 9, 62, 44, 100, 8, 35, 1478
165, 9, 62, 44, 100, 8, 35, 328
165, 9, 62, 44, 100, 8, 35, 798
165, 9, 62, 44, 100, 8, 35, 353
165, 9, 62, 44, 100, 8, 35, 547
165, 9, 62, 44, 100, 8, 35, 325
165, 9, 62, 44, 100, 8, 35, 1390
165, 9, 62, 44, 100, 10, 35, 347
165, 9, 62, 44, 100, 10, 35, 1000
165, 9, 62, 44, 100, 10, 35, 285
165, 9, 62, 44, 100, 10, 35, 874
165, 9, 62, 44, 100, 10, 35, 315
165, 9, 62, 44, 100, 10, 35, 945
165, 9, 62, 44, 100, 10, 35, 166
165, 9, 62, 44, 100, 10, 35, 1170
165, 9, 62, 44, 100, 10, 35, 373
165, 9, 62, 44, 100, 10, 35, 626
165, 9, 62, 44, 100, 10, 45, 353
165, 9, 62, 44, 100, 10, 45, 923
165, 9, 62, 44, 100, 10, 45, 842
165, 9, 62, 44, 100, 10, 45, 1719
165, 9, 62, 44, 100, 10, 45, 1800
165, 9, 62, 44, 100, 10, 45, 985
165, 9, 62, 44, 100, 10, 45, 440
165, 9, 62, 44, 100, 10, 45, 969
165, 9, 62, 44, 100, 10, 45, 409
165, 9, 62, 44, 100, 10, 45, 997
190, 13, 63, 44, 100, 10, 45, -1
190, 13, 63, 44, 100, 10, 45, -1
190, 13, 63, 44, 100, 10, 35, 1802
190, 13, 63, 44, 100, 10, 35, -1
190, 13, 63, 44, 100, 10, 35, -1
190, 13, 63, 44, 100, 10, 35, -1
190, 13, 63, 44, 100, 10, 35, -1
190, 13, 63, 44, 100, 10, 35, -1
190, 13, 63, 44, 100, 10, 35, 1181
190, 13, 63, 44, 100, 10, 35, -1
190, 13, 63, 44, 100, 10, 35, -1
190, 13, 63, 44, 100, 10, 35, -1
