cl_num, clr_num, t_num, gr_num, pop_size, mut, dbr, num_gen
165, 9, 62, 44, 10, 2, 5, 68
165, 9, 62, 44, 10, 2, 5, 55
165, 9, 62, 44, 10, 2, 5, 82
165, 9, 62, 44, 10, 2, 5, 85
165, 9, 62, 44, 10, 2, 5, 59
165, 9, 62, 44, 10, 2, 5, 64
165, 9, 62, 44, 10, 2, 5, 57
165, 9, 62, 44, 10, 2, 5, 98
165, 9, 62, 44, 10, 2, 5, 52
165, 9, 62, 44, 10, 2, 5, 64
165, 9, 62, 44, 10, 4, 5, 37
165, 9, 62, 44, 10, 4, 5, 28
165, 9, 62, 44, 10, 4, 5, 37
165, 9, 62, 44, 10, 4, 5, 41
165, 9, 62, 44, 10, 4, 5, 40
165, 9, 62, 44, 10, 4, 5, 39
165, 9, 62, 44, 10, 4, 5, 39
165, 9, 62, 44, 10, 4, 5, 50
165, 9, 62, 44, 10, 4, 5, 50
165, 9, 62, 44, 10, 4, 5, 41
190, 13, 63, 44, 10, 4, 5, 63
190, 13, 63, 44, 10, 4, 5, 58
190, 13, 63, 44, 10, 4, 5, 66
190, 13, 63, 44, 10, 4, 5, 56
190, 13, 63, 44, 10, 4, 5, 73
190, 13, 63, 44, 10, 4, 5, 56
190, 13, 63, 44, 10, 4, 5, 58
190, 13, 63, 44, 10, 4, 5, 47
190, 13, 63, 44, 10, 4, 5, 54
190, 13, 63, 44, 10, 4, 5, 75
190, 13, 63, 44, 10, 2, 5, 87
190, 13, 63, 44, 10, 2, 5, 137
190, 13, 63, 44, 10, 2, 5, 168
190, 13, 63, 44, 10, 2, 5, 161
190, 13, 63, 44, 10, 2, 5, 90
190, 13, 63, 44, 10, 2, 5, 125
190, 13, 63, 44, 10, 2, 5, 118
190, 13, 63, 44, 10, 2, 5, 83
190, 13, 63, 44, 10, 2, 5, 191
190, 13, 63, 44, 10, 2, 5, 165
190, 13, 63, 44, 20, 4, 5, 83
190, 13, 63, 44, 20, 4, 5, 120
190, 13, 63, 44, 20, 4, 5, 110
190, 13, 63, 44, 20, 4, 5, 81
190, 13, 63, 44, 20, 4, 5, 116
190, 13, 63, 44, 20, 4, 5, 88
190, 13, 63, 44, 20, 4, 5, 82
190, 13, 63, 44, 20, 4, 5, 99
190, 13, 63, 44, 20, 4, 5, 99
190, 13, 63, 44, 20, 4, 5, 115
190, 13, 63, 44, 30, 4, 10, 86
190, 13, 63, 44, 30, 4, 10, 100
190, 13, 63, 44, 30, 4, 10, 99
190, 13, 63, 44, 30, 4, 10, 130
190, 13, 63, 44, 30, 4, 10, 110
190, 13, 63, 44, 30, 4, 10, 96
190, 13, 63, 44, 30, 4, 10, 97
190, 13, 63, 44, 30, 4, 10, 136
190, 13, 63, 44, 30, 4, 10, 204
190, 13, 63, 44, 30, 4, 10, 95
165, 9, 62, 44, 20, 4, 5, 72
165, 9, 62, 44, 20, 4, 5, 66
165, 9, 62, 44, 20, 4, 5, 59
165, 9, 62, 44, 20, 4, 5, 51
165, 9, 62, 44, 20, 4, 5, 63
165, 9, 62, 44, 20, 4, 5, 55
165, 9, 62, 44, 20, 4, 5, 52
165, 9, 62, 44, 20, 4, 5, 70
165, 9, 62, 44, 20, 4, 5, 69
165, 9, 62, 44, 20, 4, 5, 58
165, 9, 62, 44, 30, 4, 10, 70
165, 9, 62, 44, 30, 4, 10, 83
165, 9, 62, 44, 30, 4, 10, 104
165, 9, 62, 44, 30, 4, 10, 88
165, 9, 62, 44, 30, 4, 10, 50
165, 9, 62, 44, 30, 4, 10, 74
165, 9, 62, 44, 30, 4, 10, 73
165, 9, 62, 44, 30, 4, 10, 71
165, 9, 62, 44, 30, 4, 10, 69
165, 9, 62, 44, 30, 4, 10, 44
165, 9, 62, 44, 30, 4, 10, 68
